borrower_id,name,age,city,employment_type,employment_years,monthly_income,household_size,dependents,requested_amount,tenure_months,purpose,first_time_borrower,prev_loans,loans_repaid,late_payments,avg_delay_days,defaults,max_days_past_due,avg_income_6m,avg_expenses_6m,avg_debt_6m,income_volatility,expense_trend,debt_trend,total_transactions_6m,bounced_payments_6m,disputed_txns_6m,id_verification,address_verification,phone_verification,bank_stmt_status,income_doc_status,doc_quality_score,transaction_variance,night_txn_ratio,new_device_90d,applications_30d,address_changes_12m,doc_avg_income,vouches_count,avg_vouch_trust,community_tenure_years,group_memberships,guarantor_past_count,account_age_months,prev_lenders_count,disputes_raised,disputes_lost,ontime_streak_months,salary_credits_6m,savings_balance,existing_debt_accounts
B10001,Vikram Gupta,43,Delhi,business,4.4,36255,6,3,131000,12,home-repair,0,5,5,1,4.8,0,10,35292,28030,33628,0.052,0.0415,0.0496,362,2,0,2,2,0,2,2,67,0.314,0.126,0,1,0,31439,2,4.8,9.5,1,0,98,3,1,0,2,4,95055,5
B10002,Kavya Yadav,35,Kolkata,self-employed,10.0,52611,5,3,97000,12,personal,0,4,4,0,5.0,0,0,50460,32776,14143,0.094,0.0323,0.0508,338,0,0,2,1,2,2,2,83,0.301,0.102,0,1,0,52124,5,4.9,2.8,4,3,116,4,0,0,17,5,149081,2
B10003,Reyansh Bose,36,Mumbai,self-employed,2.1,41998,1,1,146000,3,home-repair,0,1,1,3,10.2,0,41,39277,25993,27212,0.048,0.0108,0.1568,338,2,1,2,0,1,2,1,55,0.356,0.156,0,1,0,39885,0,0,9.2,0,0,75,4,0,0,9,0,0,1
B10004,Sanjay Gupta,48,Hyderabad,salaried,6.1,87978,6,1,279000,6,medical,0,7,7,1,10.2,0,26,87995,56208,25123,0.079,0.0669,0.0189,375,0,0,2,2,2,2,1,94,0.321,0.076,0,3,0,90320,3,4.3,10.2,4,1,58,0,1,1,32,6,344654,0
B10005,Aadhya Bose,35,Delhi,salaried,2.4,8000,5,2,59000,12,business,0,2,0,5,8.7,1,55,8050,6509,4875,0.067,0.0684,-0.1598,400,1,1,0,0,0,2,0,54,0.278,0.112,0,3,0,9372,2,4.3,8.3,2,1,87,4,1,0,4,3,11895,5
B10006,Kabir Reddy,24,Chennai,self-employed,4.4,51739,2,3,180000,6,personal,0,2,2,2,16.3,0,54,53896,34118,19151,0.047,0.034,0.0217,293,0,0,2,1,1,2,1,65,0.355,0.065,0,2,0,57419,6,4.2,3.6,3,0,89,1,1,1,15,4,72241,0
B10007,Kavitha Agarwal,26,Delhi,self-employed,7.4,41708,4,1,122000,12,medical,0,5,5,2,4.5,0,53,41206,29008,15498,0.061,-0.0527,0.0678,382,0,0,1,2,2,1,2,80,0.292,0.082,0,1,0,43670,3,4.2,3.8,2,1,77,0,0,0,9,0,56140,1
B10008,Vikram Iyer,31,Surat,daily-wage,0.7,19602,6,4,48000,12,personal,0,1,1,0,3.3,0,0,20026,14875,16556,0.081,-0.0132,-0.0488,367,0,2,2,0,0,1,2,59,0.367,0.214,0,1,0,18131,2,4.1,9.2,2,1,87,2,1,1,2,5,15172,1
B10009,Sai Khan,33,Ahmedabad,self-employed,5.9,48161,3,4,276000,6,personal,0,2,2,3,8.7,0,5,46104,34674,35585,0.038,-0.0163,0.016,388,0,0,2,1,2,2,2,71,0.364,0.102,0,2,0,46033,3,3.6,3.6,2,0,57,4,0,0,9,1,58679,0
B10010,Ananya Mishra,30,Indore,self-employed,8.9,49125,6,2,163000,12,personal,0,2,2,0,4.4,0,0,51806,32822,15907,0.066,-0.026,-0.0652,395,0,0,2,2,2,2,2,92,0.361,0.064,0,1,2,56049,6,4.7,8.8,2,0,71,0,0,0,19,0,206766,2
